experiment_id,experiment_name,material_type,material_batch,build_platform,build_date,operator,status,process_type,build_orientation,layer_height,print_speed,nozzle_temperature,bed_temperature,infill_percentage,infill_pattern,shell_count,support_enabled,print_time_hours,volume_mm3,surface_area_mm2,bounding_box_x,bounding_box_y,bounding_box_z,tensile_strength_mpa,yield_strength_mpa,elongation_percent,surface_roughness_um,porosity_percent,density_g_per_cm3,hardness_hb,defect_count,nist_benchmark,nist_dataset_ref,notes
NIST-AMB201803-0011,Polycarbonate XY_0 layer0.2mm AMB2018-03,Polycarbonate,NIST-PC-202010-11,Stratasys F450,2020-10-31T00:00:00,NIST-Lab-C,completed,Material Extrusion (FDM),XY_0,0.2,58.4,267.6,103.2,75,grid,3,False,5.94,8648.12,8730.23,166.19,19.7,5.87,65.82,57.05,23.83,14.13,1.48,1.1954,19.7,0,AMB2018-03,doi:10.1007/s40192-019-00162-1,NIST AM Bench AMB2018-03 inspired record. Orientation: XY_0. Process: Material Extrusion (FDM).
NIST-AMB201803-0012,Polycarbonate Z_vertical layer0.1mm AMB2018-03,Polycarbonate,NIST-PC-201801-12,Stratasys F450,2018-01-01T00:00:00,NIST-Lab-B,completed,Material Extrusion (FDM),Z_vertical,0.1,36.9,269.5,117.4,75,grid,3,True,4.6,5241.36,7700.29,169.34,18.64,3.69,39.92,32.04,6.27,9.03,2.7945,1.194,12.0,0,AMB2018-03,doi:10.1007/s40192-019-00162-1,NIST AM Bench AMB2018-03 inspired record. Orientation: Z_vertical. Process: Material Extrusion (FDM).
NIST-AMB201803-0013,Polycarbonate Z_vertical layer0.25mm AMB2018-03,Polycarbonate,NIST-PC-201905-13,Ultimaker S5,2019-05-03T00:00:00,NIST-Lab-A,completed,Material Extrusion (FDM),Z_vertical,0.25,54.9,287.7,111.0,50,grid,3,True,6.76,6840.32,8406.17,172.61,19.27,4.57,48.71,41.98,9.8,11.57,2.9124,1.1881,14.6,0,AMB2018-03,doi:10.1007/s40192-019-00162-1,NIST AM Bench AMB2018-03 inspired record. Orientation: Z_vertical. Process: Material Extrusion (FDM).
NIST-AMB201803-0014,Polycarbonate Z_vertical layer0.25mm AMB2018-03,Polycarbonate,NIST-PC-202207-14,Stratasys F450,2022-07-08T00:00:00,NIST-Lab-C,completed,Material Extrusion (FDM),Z_vertical,0.25,38.6,280.3,118.5,75,grid,3,True,7.59,7299.07,8289.6,166.35,19.27,5.06,44.56,35.53,9.3,16.27,1.6285,1.1883,13.4,0,AMB2018-03,doi:10.1007/s40192-019-00162-1,NIST AM Bench AMB2018-03 inspired record. Orientation: Z_vertical. Process: Material Extrusion (FDM).
NIST-AMB201803-0015,Polycarbonate XY_45 layer0.25mm AMB2018-03,Polycarbonate,NIST-PC-202201-15,Stratasys F450,2022-01-20T00:00:00,NIST-Lab-B,completed,Material Extrusion (FDM),XY_45,0.25,38.9,279.4,107.8,75,grid,3,False,7.32,4786.11,7883.48,170.98,19.5,3.19,58.66,43.0,22.71,17.67,3.4222,1.1994,17.6,0,AMB2018-03,doi:10.1007/s40192-019-00162-1,NIST AM Bench AMB2018-03 inspired record. Orientation: XY_45. Process: Material Extrusion (FDM).
NIST-AMB201803-0016,Polycarbonate XY_90 layer0.15mm AMB2018-03,Polycarbonate,NIST-PC-201809-16,Ultimaker S5,2018-09-12T00:00:00,NIST-Lab-A,completed,Material Extrusion (FDM),XY_90,0.15,52.8,267.6,116.1,25,grid,3,False,1.7,5296.38,8575.05,172.14,21.3,3.21,65.07,53.41,14.93,17.42,3.4016,1.1834,19.5,0,AMB2018-03,doi:10.1007/s40192-019-00162-1,NIST AM Bench AMB2018-03 inspired record. Orientation: XY_90. Process: Material Extrusion (FDM).
NIST-AMB201803-0017,Polycarbonate Z_vertical layer0.3mm AMB2018-03,Polycarbonate,NIST-PC-202101-17,Stratasys F450,2021-01-25T00:00:00,NIST-Lab-A,completed,Material Extrusion (FDM),Z_vertical,0.3,36.7,277.5,103.3,25,grid,3,True,6.76,7462.45,8417.76,168.39,19.31,5.1,47.1,34.14,18.58,16.08,3.0601,1.1995,14.1,0,AMB2018-03,doi:10.1007/s40192-019-00162-1,NIST AM Bench AMB2018-03 inspired record. Orientation: Z_vertical. Process: Material Extrusion (FDM).
NIST-AMB201803-0018,Polycarbonate XY_90 layer0.25mm AMB2018-03,Polycarbonate,NIST-PC-201802-18,Markforged X7,2018-02-21T00:00:00,NIST-Lab-A,completed,Material Extrusion (FDM),XY_90,0.25,47.1,265.1,116.0,50,grid,3,False,5.47,5967.01,8601.92,173.13,20.7,3.7,58.35,50.08,15.52,15.03,3.2221,1.1838,17.5,0,AMB2018-03,doi:10.1007/s40192-019-00162-1,NIST AM Bench AMB2018-03 inspired record. Orientation: XY_90. Process: Material Extrusion (FDM).
NIST-AMB201803-0019,Polycarbonate Z_vertical layer0.3mm AMB2018-03,Polycarbonate,NIST-PC-202301-19,Ultimaker S5,2023-01-12T00:00:00,NIST-Lab-C,failed,Material Extrusion (FDM),Z_vertical,0.3,31.0,264.7,114.3,100,solid,3,True,4.47,6137.96,8158.25,171.81,19.13,4.15,,,,13.82,3.7208,1.1929,13.3,2,AMB2018-03,doi:10.1007/s40192-019-00162-1,NIST AM Bench AMB2018-03 inspired record. Orientation: Z_vertical. Process: Material Extrusion (FDM).
NIST-AMB201803-0020,Polycarbonate XY_90 layer0.15mm AMB2018-03,Polycarbonate,NIST-PC-202212-20,Ultimaker S5,2022-12-02T00:00:00,NIST-Lab-B,completed,Material Extrusion (FDM),XY_90,0.15,45.2,289.2,111.0,25,grid,3,False,1.57,5047.78,8145.41,167.82,20.63,3.24,57.56,44.85,10.85,8.07,3.2055,1.1885,17.3,0,AMB2018-03,doi:10.1007/s40192-019-00162-1,NIST AM Bench AMB2018-03 inspired record. Orientation: XY_90. Process: Material Extrusion (FDM).
NIST-AMB201804-0021,Polyamide12 XY_45 layer0.15mm AMB2018-04,Polyamide12,NIST-PA12-201905-01,EOS Formiga P110,2019-05-29T00:00:00,NIST-Lab-C,completed,Powder Bed Fusion (SLS),XY_45,0.15,16.7,176.6,169.6,100,solid,,False,3.3,8926.39,8915.67,172.12,19.24,5.99,49.07,38.66,16.16,20.12,2.519,0.9824,14.7,0,AMB2018-04,doi:10.1007/s40192-019-00163-0,NIST AM Bench AMB2018-04 inspired record. Orientation: XY_45. Process: Powder Bed Fusion (SLS).
NIST-AMB201804-0022,Polyamide12 XY_90 layer0.12mm AMB2018-04,Polyamide12,NIST-PA12-201804-02,EOS Formiga P110,2018-04-21T00:00:00,NIST-Lab-A,completed,Powder Bed Fusion (SLS),XY_90,0.12,11.5,173.5,169.3,100,solid,,False,3.89,5642.44,8026.11,166.0,19.93,3.79,50.01,36.77,23.64,21.68,2.0923,1.0091,15.0,0,AMB2018-04,doi:10.1007/s40192-019-00163-0,NIST AM Bench AMB2018-04 inspired record. Orientation: XY_90. Process: Powder Bed Fusion (SLS).
NIST-AMB201804-0023,Polyamide12 XY_90 layer0.1mm AMB2018-04,Polyamide12,NIST-PA12-201809-03,3D Systems sPro 60,2018-09-18T00:00:00,NIST-Lab-B,completed,Powder Bed Fusion (SLS),XY_90,0.1,13.6,174.1,166.7,100,solid,,False,6.85,6759.47,8580.49,169.14,20.51,4.33,46.74,37.85,10.88,20.83,2.287,0.9984,14.0,0,AMB2018-04,doi:10.1007/s40192-019-00163-0,NIST AM Bench AMB2018-04 inspired record. Orientation: XY_90. Process: Powder Bed Fusion (SLS).
NIST-AMB201804-0024,Polyamide12 Z_vertical layer0.12mm AMB2018-04,Polyamide12,NIST-PA12-202210-04,3D Systems sPro 60,2022-10-07T00:00:00,NIST-Lab-B,failed,Powder Bed Fusion (SLS),Z_vertical,0.12,17.3,179.2,170.9,100,solid,,True,3.53,8473.36,8876.29,172.61,19.48,5.6,,,,21.8,3.371,1.0039,13.7,3,AMB2018-04,doi:10.1007/s40192-019-00163-0,NIST AM Bench AMB2018-04 inspired record. Orientation: Z_vertical. Process: Powder Bed Fusion (SLS).
NIST-AMB201804-0025,Polyamide12 Z_vertical layer0.15mm AMB2018-04,Polyamide12,NIST-PA12-201801-05,3D Systems sPro 60,2018-01-31T00:00:00,NIST-Lab-A,failed,Powder Bed Fusion (SLS),Z_vertical,0.15,16.4,177.2,167.6,100,solid,,True,6.61,5039.27,7820.82,173.95,18.66,3.45,,,,22.3,3.2019,0.9929,12.9,1,AMB2018-04,doi:10.1007/s40192-019-00163-0,NIST AM Bench AMB2018-04 inspired record. Orientation: Z_vertical. Process: Powder Bed Fusion (SLS).
NIST-AMB201804-0026,Polyamide12 XY_90 layer0.1mm AMB2018-04,Polyamide12,NIST-PA12-201906-06,3D Systems sPro 60,2019-06-02T00:00:00,NIST-Lab-B,completed,Powder Bed Fusion (SLS),XY_90,0.1,12.4,175.2,170.5,100,solid,,False,6.49,5144.97,8152.16,170.23,20.23,3.32,45.24,38.45,4.87,23.0,2.9541,0.9715,13.6,0,AMB2018-04,doi:10.1007/s40192-019-00163-0,NIST AM Bench AMB2018-04 inspired record. Orientation: XY_90. Process: Powder Bed Fusion (SLS).
NIST-AMB201804-0027,Polyamide12 XY_45 layer0.1mm AMB2018-04,Polyamide12,NIST-PA12-201806-07,EOS Formiga P110,2018-06-25T00:00:00,NIST-Lab-A,completed,Powder Bed Fusion (SLS),XY_45,0.1,17.6,173.5,168.8,100,solid,,False,2.6,8253.28,8917.45,172.79,19.84,5.35,47.68,41.13,11.7,12.7,1.127,0.9541,14.3,0,AMB2018-04,doi:10.1007/s40192-019-00163-0,NIST AM Bench AMB2018-04 inspired record. Orientation: XY_45. Process: Powder Bed Fusion (SLS).
NIST-AMB201804-0028,Polyamide12 Z_vertical layer0.1mm AMB2018-04,Polyamide12,NIST-PA12-201810-08,EOS Formiga P110,2018-10-21T00:00:00,NIST-Lab-A,completed,Powder Bed Fusion (SLS),Z_vertical,0.1,12.3,178.3,171.7,100,solid,,True,2.7,8633.18,9466.95,173.2,21.55,5.14,42.65,35.77,12.77,18.34,1.6518,0.966,12.8,0,AMB2018-04,doi:10.1007/s40192-019-00163-0,NIST AM Bench AMB2018-04 inspired record. Orientation: Z_vertical. Process: Powder Bed Fusion (SLS).
NIST-AMB201804-0029,Polyamide12 Z_vertical layer0.1mm AMB2018-04,Polyamide12,NIST-PA12-201810-09,3D Systems sPro 60,2018-10-29T00:00:00,NIST-Lab-A,completed,Powder Bed Fusion (SLS),Z_vertical,0.1,12.8,176.8,170.8,100,solid,,True,3.28,5407.65,7745.7,166.18,19.08,3.79,43.46,33.54,18.3,16.63,1.8344,0.9843,13.0,0,AMB2018-04,doi:10.1007/s40192-019-00163-0,NIST AM Bench AMB2018-04 inspired record. Orientation: Z_vertical. Process: Powder Bed Fusion (SLS).
NIST-AMB201804-0030,Polyamide12 XY_90 layer0.12mm AMB2018-04,Polyamide12,NIST-PA12-202103-10,EOS Formiga P110,2021-03-20T00:00:00,NIST-Lab-A,completed,Powder Bed Fusion (SLS),XY_90,0.12,15.8,171.3,166.0,100,solid,,False,3.24,6533.08,8830.13,169.38,21.59,3.97,47.68,38.59,12.38,20.65,2.1929,0.9746,14.3,0,AMB2018-04,doi:10.1007/s40192-019-00163-0,NIST AM Bench AMB2018-04 inspired record. Orientation: XY_90. Process: Powder Bed Fusion (SLS).
NIST-AMB201804-0031,Polyamide12 XY_45 layer0.15mm AMB2018-04,Polyamide12,NIST-PA12-202107-11,3D Systems sPro 60,2021-07-08T00:00:00,NIST-Lab-B,completed,Powder Bed Fusion (SLS),XY_45,0.15,10.3,174.6,168.6,100,solid,,False,7.62,6862.33,8726.35,170.68,20.73,4.31,44.35,36.98,7.42,22.96,2.2308,0.9638,13.3,0,AMB2018-04,doi:10.1007/s40192-019-00163-0,NIST AM Bench AMB2018-04 inspired record. Orientation: XY_45. Process: Powder Bed Fusion (SLS).
NIST-AMB201804-0032,Polyamide12 XY_0 layer0.12mm AMB2018-04,Polyamide12,NIST-PA12-202010-12,EOS Formiga P110,2020-10-25T00:00:00,NIST-Lab-A,completed,Powder Bed Fusion (SLS),XY_0,0.12,13.4,170.2,169.3,100,solid,,False,6.04,6032.57,8357.26,169.83,20.24,3.9,49.99,43.64,17.51,17.25,2.0418,0.955,15.0,0,AMB2018-04,doi:10.1007/s40192-019-00163-0,NIST AM Bench AMB2018-04 inspired record. Orientation: XY_0. Process: Powder Bed Fusion (SLS).
NIST-AMB201804-0033,Polyamide12 XY_45 layer0.1mm AMB2018-04,Polyamide12,NIST-PA12-201911-13,3D Systems sPro 60,2019-11-01T00:00:00,NIST-Lab-B,completed,Powder Bed Fusion (SLS),XY_45,0.1,15.9,175.0,166.5,100,solid,,False,5.61,8234.17,8674.41,170.35,19.25,5.58,50.43,42.08,7.29,15.09,0.9534,1.0076,15.1,0,AMB2018-04,doi:10.1007/s40192-019-00163-0,NIST AM Bench AMB2018-04 inspired record. Orientation: XY_45. Process: Powder Bed Fusion (SLS).
NIST-AMB201804-0034,Polyamide12 XY_45 layer0.12mm AMB2018-04,Polyamide12,NIST-PA12-201806-14,EOS Formiga P110,2018-06-15T00:00:00,NIST-Lab-A,completed,Powder Bed Fusion (SLS),XY_45,0.12,17.6,174.5,168.6,100,solid,,False,6.71,5021.3,7501.68,166.08,18.56,3.62,50.06,35.39,9.99,20.23,3.0383,0.9999,15.0,0,AMB2018-04,doi:10.1007/s40192-019-00163-0,NIST AM Bench AMB2018-04 inspired record. Orientation: XY_45. Process: Powder Bed Fusion (SLS).
NIST-AMB201804-0035,Polyamide12 XY_0 layer0.12mm AMB2018-04,Polyamide12,NIST-PA12-201907-15,3D Systems sPro 60,2019-07-28T00:00:00,NIST-Lab-B,completed,Powder Bed Fusion (SLS),XY_0,0.12,17.2,175.6,171.9,100,solid,,False,1.2,6894.4,8977.48,172.34,21.37,4.16,50.85,43.55,16.77,17.52,1.9312,0.9507,15.3,0,AMB2018-04,doi:10.1007/s40192-019-00163-0,NIST AM Bench AMB2018-04 inspired record. Orientation: XY_0. Process: Powder Bed Fusion (SLS).
NIST-AMB201804-0036,Polyamide12 XY_90 layer0.12mm AMB2018-04,Polyamide12,NIST-PA12-202211-16,EOS Formiga P110,2022-11-14T00:00:00,NIST-Lab-A,completed,Powder Bed Fusion (SLS),XY_90,0.12,19.9,171.5,167.0,100,solid,,False,3.48,6981.39,9032.83,172.78,21.43,4.19,50.72,36.64,7.43,20.08,1.1722,0.9718,15.2,0,AMB2018-04,doi:10.1007/s40192-019-00163-0,NIST AM Bench AMB2018-04 inspired record. Orientation: XY_90. Process: Powder Bed Fusion (SLS).
NIST-AMB201804-0037,Polyamide12 Z_vertical layer0.15mm AMB2018-04,Polyamide12,NIST-PA12-201907-17,3D Systems sPro 60,2019-07-15T00:00:00,NIST-Lab-B,completed,Powder Bed Fusion (SLS),Z_vertical,0.15,11.8,178.4,165.2,100,solid,,True,2.52,7040.2,8233.0,174.01,18.2,4.94,45.85,37.85,18.35,15.0,1.521,0.9903,13.8,0,AMB2018-04,doi:10.1007/s40192-019-00163-0,NIST AM Bench AMB2018-04 inspired record. Orientation: Z_vertical. Process: Powder Bed Fusion (SLS).
NIST-AMB201804-0038,Polyamide12 XY_45 layer0.15mm AMB2018-04,Polyamide12,NIST-PA12-202006-18,EOS Formiga P110,2020-06-12T00:00:00,NIST-Lab-A,completed,Powder Bed Fusion (SLS),XY_45,0.15,15.7,170.8,166.7,100,solid,,False,3.76,6519.5,8480.93,172.98,19.8,4.23,46.03,36.22,22.2,14.08,2.0684,0.9533,13.8,0,AMB2018-04,doi:10.1007/s40192-019-00163-0,NIST AM Bench AMB2018-04 inspired record. Orientation: XY_45. Process: Powder Bed Fusion (SLS).
NIST-AMB201804-0039,Polyamide12 XY_90 layer0.15mm AMB2018-04,Polyamide12,NIST-PA12-202002-19,EOS Formiga P110,2020-02-11T00:00:00,NIST-Lab-B,failed,Powder Bed Fusion (SLS),XY_90,0.15,17.7,179.9,170.7,100,solid,,False,3.62,5216.64,7857.35,167.29,19.52,3.55,,,,22.91,3.2082,0.9798,15.0,1,AMB2018-04,doi:10.1007/s40192-019-00163-0,NIST AM Bench AMB2018-04 inspired record. Orientation: XY_90. Process: Powder Bed Fusion (SLS).
NIST-AMB201804-0040,Polyamide12 XY_90 layer0.15mm AMB2018-04,Polyamide12,NIST-PA12-202209-20,EOS Formiga P110,2022-09-21T00:00:00,NIST-Lab-C,completed,Powder Bed Fusion (SLS),XY_90,0.15,12.2,176.6,171.5,100,solid,,False,7.83,7719.28,8094.84,165.14,18.16,5.72,46.22,34.89,4.15,16.46,1.7637,0.9867,13.9,0,AMB2018-04,doi:10.1007/s40192-019-00163-0,NIST AM Bench AMB2018-04 inspired record. Orientation: XY_90. Process: Powder Bed Fusion (SLS).
NIST-AMB202201-0041,IN718 XY_45 layer0.04mm AMB2022-01,IN718,NIST-IN718-201908-01,SLM Solutions 125,2019-08-14T00:00:00,NIST-Lab-C,completed,Laser Powder Bed Fusion (LPBF),XY_45,0.04,1051.6,,101.8,100,solid,,False,6.63,5983.43,8214.39,165.51,20.39,3.94,1049.53,903.65,37.24,8.6,0.0221,8.1945,314.9,0,AMB2022-01,doi:10.1007/s40192-024-00331-z,NIST AM Bench AMB2022-01 inspired record. Orientation: XY_45. Process: Laser Powder Bed Fusion (LPBF).
NIST-AMB202201-0042,IN718 XY_0 layer0.04mm AMB2022-01,IN718,NIST-IN718-202207-02,SLM Solutions 125,2022-07-04T00:00:00,NIST-Lab-B,completed,Laser Powder Bed Fusion (LPBF),XY_0,0.04,1061.5,,109.5,100,solid,,False,6.84,7697.33,8742.53,167.55,20.5,4.98,1038.69,803.31,16.67,10.75,0.0509,8.1717,311.6,0,AMB2022-01,doi:10.1007/s40192-024-00331-z,NIST AM Bench AMB2022-01 inspired record. Orientation: XY_0. Process: Laser Powder Bed Fusion (LPBF).
NIST-AMB202201-0043,IN718 XY_0 layer0.03mm AMB2022-01,IN718,NIST-IN718-202010-03,Concept Laser M2,2020-10-21T00:00:00,NIST-Lab-C,completed,Laser Powder Bed Fusion (LPBF),XY_0,0.03,1197.8,,93.2,100,solid,,False,7.48,5102.89,8404.6,166.5,21.69,3.14,1010.7,733.22,37.83,9.41,0.3203,8.2077,303.2,0,AMB2022-01,doi:10.1007/s40192-024-00331-z,NIST AM Bench AMB2022-01 inspired record. Orientation: XY_0. Process: Laser Powder Bed Fusion (LPBF).
NIST-AMB202201-0044,IN718 XY_0 layer0.03mm AMB2022-01,IN718,NIST-IN718-201803-04,SLM Solutions 125,2018-03-04T00:00:00,NIST-Lab-C,failed,Laser Powder Bed Fusion (LPBF),XY_0,0.03,1121.7,,187.7,100,solid,,False,1.88,5117.71,7594.96,168.24,18.52,3.65,,,,15.98,0.4708,8.2144,308.5,1,AMB2022-01,doi:10.1007/s40192-024-00331-z,NIST AM Bench AMB2022-01 inspired record. Orientation: XY_0. Process: Laser Powder Bed Fusion (LPBF).
NIST-AMB202201-0045,IN718 Z_vertical layer0.03mm AMB2022-01,IN718,NIST-IN718-202006-05,Concept Laser M2,2020-06-07T00:00:00,NIST-Lab-B,completed,Laser Powder Bed Fusion (LPBF),Z_vertical,0.03,1178.9,,133.5,100,solid,,True,2.69,4236.7,7378.03,171.01,18.23,3.02,978.92,724.2,37.37,8.27,0.4242,8.1752,293.7,0,AMB2022-01,doi:10.1007/s40192-024-00331-z,NIST AM Bench AMB2022-01 inspired record. Orientation: Z_vertical. Process: Laser Powder Bed Fusion (LPBF).
NIST-AMB202201-0046,IN718 Z_vertical layer0.03mm AMB2022-01,IN718,NIST-IN718-201803-06,SLM Solutions 125,2018-03-16T00:00:00,NIST-Lab-B,completed,Laser Powder Bed Fusion (LPBF),Z_vertical,0.03,915.6,,163.0,100,solid,,True,7.13,5267.87,7955.83,174.91,18.8,3.56,913.4,667.41,31.97,11.74,0.1832,8.1753,274.0,0,AMB2022-01,doi:10.1007/s40192-024-00331-z,NIST AM Bench AMB2022-01 inspired record. Orientation: Z_vertical. Process: Laser Powder Bed Fusion (LPBF).
NIST-AMB202201-0047,IN718 XY_90 layer0.02mm AMB2022-01,IN718,NIST-IN718-202008-07,Concept Laser M2,2020-08-19T00:00:00,NIST-Lab-C,failed,Laser Powder Bed Fusion (LPBF),XY_90,0.02,1192.4,,146.7,100,solid,,False,1.46,6692.12,9107.12,174.06,21.74,3.93,,,,14.36,0.4894,8.2062,317.3,2,AMB2022-01,doi:10.1007/s40192-024-00331-z,NIST AM Bench AMB2022-01 inspired record. Orientation: XY_90. Process: Laser Powder Bed Fusion (LPBF).
NIST-AMB202201-0048,IN718 Z_vertical layer0.02mm AMB2022-01,IN718,NIST-IN718-202112-08,Concept Laser M2,2021-12-30T00:00:00,NIST-Lab-C,completed,Laser Powder Bed Fusion (LPBF),Z_vertical,0.02,1129.8,,135.4,100,solid,,True,7.61,4221.92,7190.26,165.11,18.33,3.1,942.46,674.34,44.34,14.12,0.193,8.2093,282.7,0,AMB2022-01,doi:10.1007/s40192-024-00331-z,NIST AM Bench AMB2022-01 inspired record. Orientation: Z_vertical. Process: Laser Powder Bed Fusion (LPBF).
NIST-AMB202201-0049,IN718 XY_45 layer0.02mm AMB2022-01,IN718,NIST-IN718-202301-09,SLM Solutions 125,2023-01-02T00:00:00,NIST-Lab-C,completed,Laser Powder Bed Fusion (LPBF),XY_45,0.02,1144.4,,190.5,100,solid,,False,7.24,6036.34,7908.36,173.54,18.06,4.28,1038.6,747.04,26.2,12.61,0.1033,8.1839,311.6,0,AMB2022-01,doi:10.1007/s40192-024-00331-z,NIST AM Bench AMB2022-01 inspired record. Orientation: XY_45. Process: Laser Powder Bed Fusion (LPBF).
